Study Name	SiC_phase_study
Sample Name	2025-11-07
Run Name	spot05
Operator	Keshav
Date	11/7/2025
Time	18:24
Sign	FIX
Grating Spacing	08.80um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	6:29:46 PM
	
Time	Amplitude
2.075000E-8	3.270195E-2
2.080000E-8	3.208357E-2
2.085000E-8	3.128191E-2
2.090000E-8	3.028669E-2
2.095000E-8	2.918869E-2
2.100000E-8	2.812152E-2
2.105000E-8	2.710917E-2
2.110000E-8	2.608140E-2
2.115000E-8	2.511187E-2
2.120000E-8	2.434789E-2
2.125000E-8	2.383743E-2
2.130000E-8	2.355308E-2
2.135000E-8	2.348970E-2
2.140000E-8	2.363702E-2
2.145000E-8	2.400359E-2
2.150000E-8	2.455516E-2
2.155000E-8	2.520437E-2
2.160000E-8	2.587927E-2
2.165000E-8	2.658843E-2
2.170000E-8	2.727532E-2
2.175000E-8	2.783546E-2
2.180000E-8	2.826198E-2
2.185000E-8	2.859601E-2
2.190000E-8	2.876730E-2
2.195000E-8	2.868337E-2
2.200000E-8	2.836990E-2
2.205000E-8	2.789027E-2
2.210000E-8	2.725306E-2
2.215000E-8	2.644454E-2
2.220000E-8	2.549043E-2
2.225000E-8	2.444553E-2
2.230000E-8	2.338864E-2
2.235000E-8	2.236430E-2
2.240000E-8	2.140504E-2
2.245000E-8	2.056570E-2
2.250000E-8	1.990279E-2
2.255000E-8	1.940432E-2
2.260000E-8	1.909427E-2
2.265000E-8	1.902404E-2
2.270000E-8	1.918677E-2
2.275000E-8	1.953450E-2
2.280000E-8	2.005353E-2
2.285000E-8	2.072843E-2
2.290000E-8	2.147699E-2
2.295000E-8	2.222041E-2
2.300000E-8	2.295012E-2
2.305000E-8	2.363702E-2
2.310000E-8	2.421771E-2
2.315000E-8	2.462368E-2
2.320000E-8	2.482923E-2
2.325000E-8	2.485321E-2
2.330000E-8	2.473331E-2
2.335000E-8	2.443354E-2
2.340000E-8	2.392651E-2
2.345000E-8	2.326017E-2
2.350000E-8	2.251846E-2
2.355000E-8	2.172879E-2
2.360000E-8	2.085519E-2
2.365000E-8	1.995246E-2
2.370000E-8	1.912511E-2
2.375000E-8	1.844849E-2
2.380000E-8	1.791919E-2
2.385000E-8	1.754748E-2
2.390000E-8	1.737790E-2
2.395000E-8	1.740188E-2
2.400000E-8	1.758688E-2
2.405000E-8	1.794660E-2
2.410000E-8	1.848275E-2
2.415000E-8	1.913196E-2
2.420000E-8	1.982399E-2
2.425000E-8	2.055199E-2
2.430000E-8	2.126116E-2
2.435000E-8	2.188810E-2
2.440000E-8	2.242082E-2
2.445000E-8	2.282851E-2
2.450000E-8	2.302892E-2
2.455000E-8	2.300494E-2
2.460000E-8	2.280110E-2
2.465000E-8	2.240369E-2
2.470000E-8	2.180245E-2
2.475000E-8	2.103333E-2
2.480000E-8	2.014431E-2
2.485000E-8	1.915765E-2
2.490000E-8	1.813845E-2
2.495000E-8	1.717748E-2
2.500000E-8	1.631244E-2
2.505000E-8	1.556217E-2
2.510000E-8	1.499347E-2
2.515000E-8	1.465088E-2
2.520000E-8	1.452070E-2
2.525000E-8	1.458408E-2
2.530000E-8	1.485130E-2
2.535000E-8	1.531893E-2
2.540000E-8	1.591333E-2
2.545000E-8	1.660707E-2
2.550000E-8	1.739503E-2
2.555000E-8	1.821553E-2
2.560000E-8	1.901034E-2
2.565000E-8	1.973834E-2
2.570000E-8	2.036871E-2
2.575000E-8	2.086718E-2
2.580000E-8	2.123717E-2
2.585000E-8	2.145643E-2
2.590000E-8	2.147870E-2
2.595000E-8	2.130912E-2
2.600000E-8	2.098023E-2
2.605000E-8	2.050403E-2
2.610000E-8	1.988737E-2
2.615000E-8	1.916279E-2
2.620000E-8	1.838854E-2
2.625000E-8	1.761086E-2
2.630000E-8	1.687258E-2
2.635000E-8	1.621652E-2
2.640000E-8	1.569749E-2
2.645000E-8	1.535490E-2
2.650000E-8	1.519389E-2
2.655000E-8	1.519903E-2
2.660000E-8	1.537717E-2
2.665000E-8	1.572319E-2
2.670000E-8	1.620453E-2
2.675000E-8	1.679550E-2
2.680000E-8	1.745498E-2
2.685000E-8	1.815900E-2
2.690000E-8	1.886131E-2
2.695000E-8	1.949853E-2
2.700000E-8	2.002783E-2
2.705000E-8	2.043209E-2
2.710000E-8	2.066676E-2
2.715000E-8	2.070959E-2
2.720000E-8	2.056227E-2
2.725000E-8	2.023681E-2
2.730000E-8	1.974348E-2
2.735000E-8	1.911654E-2
2.740000E-8	1.838854E-2
2.745000E-8	1.761086E-2
2.750000E-8	1.681434E-2
2.755000E-8	1.602638E-2
2.760000E-8	1.525898E-2
2.765000E-8	1.456866E-2
2.770000E-8	1.402737E-2
2.775000E-8	1.363339E-2
2.780000E-8	1.339358E-2
2.785000E-8	1.333191E-2
2.790000E-8	1.344325E-2
2.795000E-8	1.368649E-2
2.800000E-8	1.404107E-2
2.805000E-8	1.447959E-2
2.810000E-8	1.499861E-2
2.815000E-8	1.560328E-2
2.820000E-8	1.625592E-2
2.825000E-8	1.688114E-2
2.830000E-8	1.744470E-2
2.835000E-8	1.793118E-2
2.840000E-8	1.829947E-2
2.845000E-8	1.851701E-2
2.850000E-8	1.858553E-2
2.855000E-8	1.849474E-2
2.860000E-8	1.823780E-2
2.865000E-8	1.779415E-2
2.870000E-8	1.719290E-2
2.875000E-8	1.648374E-2
2.880000E-8	1.571805E-2
2.885000E-8	1.491296E-2
2.890000E-8	1.409246E-2
2.895000E-8	1.333191E-2
2.900000E-8	1.269469E-2
2.905000E-8	1.221507E-2
2.910000E-8	1.191187E-2
2.915000E-8	1.181081E-2
2.920000E-8	1.189817E-2
2.925000E-8	1.215169E-2
2.930000E-8	1.256622E-2
2.935000E-8	1.312293E-2
2.940000E-8	1.376015E-2
2.945000E-8	1.441107E-2
2.950000E-8	1.502773E-2
2.955000E-8	1.557759E-2
2.960000E-8	1.603323E-2
2.965000E-8	1.638096E-2
2.970000E-8	1.661392E-2
2.975000E-8	1.670813E-2
2.980000E-8	1.665846E-2
2.985000E-8	1.647689E-2
2.990000E-8	1.616684E-2
2.995000E-8	1.572833E-2
3.000000E-8	1.519560E-2
3.005000E-8	1.461320E-2
3.010000E-8	1.400681E-2
3.015000E-8	1.340214E-2
3.020000E-8	1.283344E-2
3.025000E-8	1.231270E-2
3.030000E-8	1.186220E-2
3.035000E-8	1.151961E-2
3.040000E-8	1.129179E-2
3.045000E-8	1.118387E-2
3.050000E-8	1.121470E-2
3.055000E-8	1.136716E-2
3.060000E-8	1.162067E-2
3.065000E-8	1.197697E-2
3.070000E-8	1.242062E-2
3.075000E-8	1.288654E-2
3.080000E-8	1.334561E-2
3.085000E-8	1.377899E-2
3.090000E-8	1.416269E-2
3.095000E-8	1.446246E-2
3.100000E-8	1.468343E-2
3.105000E-8	1.483588E-2
3.110000E-8	1.493181E-2
3.115000E-8	1.494894E-2
3.120000E-8	1.486157E-2
3.125000E-8	1.465431E-2
3.130000E-8	1.434084E-2
3.135000E-8	1.393829E-2
3.140000E-8	1.346381E-2
3.145000E-8	1.296020E-2
3.150000E-8	1.246344E-2
3.155000E-8	1.199752E-2
3.160000E-8	1.156757E-2
3.165000E-8	1.119072E-2
3.170000E-8	1.090637E-2
3.175000E-8	1.073336E-2
3.180000E-8	1.066142E-2
3.185000E-8	1.068540E-2
3.190000E-8	1.080360E-2
3.195000E-8	1.098174E-2
3.200000E-8	1.118558E-2
3.205000E-8	1.142540E-2
3.210000E-8	1.169947E-2
3.215000E-8	1.196840E-2
3.220000E-8	1.222021E-2
3.225000E-8	1.246858E-2
3.230000E-8	1.266557E-2
3.235000E-8	1.279233E-2
3.240000E-8	1.289168E-2
3.245000E-8	1.295164E-2
3.250000E-8	1.290196E-2
3.255000E-8	1.276150E-2
3.260000E-8	1.258849E-2
3.265000E-8	1.237780E-2
3.270000E-8	1.209345E-2
3.275000E-8	1.177826E-2
3.280000E-8	1.149563E-2
3.285000E-8	1.124896E-2
3.290000E-8	1.099716E-2
3.295000E-8	1.074022E-2
3.300000E-8	1.052781E-2
3.305000E-8	1.037878E-2
3.310000E-8	1.030170E-2
3.315000E-8	1.031712E-2
3.320000E-8	1.041476E-2
3.325000E-8	1.057063E-2
3.330000E-8	1.077448E-2
3.335000E-8	1.102799E-2
3.340000E-8	1.130378E-2
3.345000E-8	1.156928E-2
3.350000E-8	1.179711E-2
3.355000E-8	1.198896E-2
3.360000E-8	1.212257E-2
3.365000E-8	1.220821E-2
3.370000E-8	1.224247E-2
3.375000E-8	1.221678E-2
3.380000E-8	1.214141E-2
3.385000E-8	1.203863E-2
3.390000E-8	1.191701E-2
3.395000E-8	1.178169E-2
3.400000E-8	1.162239E-2
3.405000E-8	1.144767E-2
3.410000E-8	1.125239E-2
3.415000E-8	1.104512E-2
3.420000E-8	1.084813E-2
3.425000E-8	1.064772E-2
3.430000E-8	1.043360E-2
3.435000E-8	1.022119E-2
3.440000E-8	1.005504E-2
3.445000E-8	9.919714E-3
3.450000E-8	9.822076E-3
3.455000E-8	9.806659E-3
3.460000E-8	9.883742E-3
3.465000E-8	1.000879E-2
3.470000E-8	1.015953E-2
3.475000E-8	1.037707E-2
3.480000E-8	1.065971E-2
3.485000E-8	1.096461E-2
3.490000E-8	1.126438E-2
3.495000E-8	1.155216E-2
3.500000E-8	1.178854E-2
3.505000E-8	1.193928E-2
3.510000E-8	1.199410E-2
3.515000E-8	1.194613E-2
3.520000E-8	1.178340E-2
3.525000E-8	1.152132E-2
3.530000E-8	1.119244E-2
3.535000E-8	1.080531E-2
3.540000E-8	1.037022E-2
3.545000E-8	9.943695E-3
3.550000E-8	9.563420E-3
3.555000E-8	9.239673E-3
3.560000E-8	8.996434E-3
3.565000E-8	8.855972E-3
3.570000E-8	8.797731E-3
3.575000E-8	8.794306E-3
3.580000E-8	8.862824E-3
3.585000E-8	8.996434E-3
3.590000E-8	9.133470E-3
3.595000E-8	9.260228E-3
3.600000E-8	9.405829E-3
3.605000E-8	9.561707E-3
3.610000E-8	9.691891E-3
3.615000E-8	9.808372E-3
3.620000E-8	9.926566E-3
3.625000E-8	1.003106E-2
3.630000E-8	1.012527E-2
3.635000E-8	1.022633E-2
3.640000E-8	1.032226E-2
3.645000E-8	1.038906E-2
3.650000E-8	1.043189E-2
3.655000E-8	1.045758E-2
3.660000E-8	1.043874E-2
3.665000E-8	1.033596E-2
3.670000E-8	1.014411E-2
3.675000E-8	9.918001E-3
3.680000E-8	9.669623E-3
3.685000E-8	9.388699E-3
3.690000E-8	9.106062E-3
3.695000E-8	8.893657E-3
3.700000E-8	8.744630E-3
3.705000E-8	8.604168E-3
3.710000E-8	8.492826E-3
