Study Name	PremaTech_CVD_SiC_1_Heating
Sample Name	2024-12-17
Run Name	spot04_300
Operator	Keshav
Date	12/17/2024
Time	17:55
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	5:55:34 PM
	
Time	Amplitude
6.580000E-8	-8.462021E-4
6.590000E-8	-7.554158E-4
6.600000E-8	-6.286575E-4
6.610000E-8	-4.830567E-4
6.620000E-8	-3.785668E-4
6.630000E-8	-3.203265E-4
6.640000E-8	-2.929193E-4
6.650000E-8	-2.963452E-4
6.660000E-8	-3.443078E-4
6.670000E-8	-4.025481E-4
6.680000E-8	-5.104639E-4
6.690000E-8	-6.612035E-4
6.700000E-8	-7.759712E-4
6.710000E-8	-8.068043E-4
6.720000E-8	-7.451381E-4
6.730000E-8	-6.526388E-4
6.740000E-8	-5.344452E-4
6.750000E-8	-4.830567E-4
6.760000E-8	-5.070380E-4
6.770000E-8	-6.081021E-4
6.780000E-8	-7.382863E-4
6.790000E-8	-7.931007E-4
6.800000E-8	-8.119431E-4
6.810000E-8	-7.742582E-4
6.820000E-8	-7.125920E-4
6.830000E-8	-6.543517E-4
6.840000E-8	-5.978244E-4
6.850000E-8	-5.635654E-4
6.860000E-8	-5.669913E-4
6.870000E-8	-6.372222E-4
6.880000E-8	-7.365733E-4
6.890000E-8	-8.256467E-4
6.900000E-8	-8.975906E-4
6.910000E-8	-9.061554E-4
6.920000E-8	-8.462021E-4
6.930000E-8	-7.245827E-4
6.940000E-8	-5.943985E-4
6.950000E-8	-4.984733E-4
6.960000E-8	-4.830567E-4
6.970000E-8	-4.625013E-4
6.980000E-8	-4.796308E-4
6.990000E-8	-4.556495E-4
7.000000E-8	-4.864826E-4
7.010000E-8	-4.779179E-4
7.020000E-8	-4.933344E-4
7.030000E-8	-4.830567E-4
7.040000E-8	-5.001862E-4
7.050000E-8	-4.899085E-4
7.060000E-8	-4.727790E-4
7.070000E-8	-4.145387E-4
7.080000E-8	-3.562984E-4
